,id,name,genres,followers,popularity
71,3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",2776143,66
72,5WZpS24ae5QahbzIostZXt,Khaled Mouzanar,"['arab folk', 'arabic instrumental', 'lebanese indie']",22307,38
73,6FdB2vcrRmzkEM8mDOEEZa,Ranjit Barot,[],5633,25
74,6h4ALbc1G80KRRG7THwHic,Maurice Gibb,['soft rock'],6370,27
75,4lgtxmgr3T7wS56YRuDmrY,David Friedman,"['jazz vibraphone', 'mallet']",714,8
76,5aweKNLI0ZyI48q5TmoCxT,Ilhan Ersahin,['turkish jazz'],24515,36
77,5yQFiwFxFNkYO57GfFNMJ8,Charlie Smalls,[],38,0
78,6AD3EBuNBzMv2DEV2NnXxB,Ken Williams,[],45,1
79,5N6GwJzOcOY5kv8p0NjhYL,Neil Sedaka,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'rockabilly', 'soft rock']",504212,54
80,6UEYawMcp2M4JFoXVOtZEq,Dustin O'Halloran,['compositional ambient'],174723,54
81,1d5YtrNRwwQI8Bnntp0uzv,"Exultate, Thomas D. Rossin, Sarah Zimmerman, Kristin Morant, Roy Heilman & Jonathan Ten Brink",[],2,0
82,3HRp89HGQApYKnq25n2l60,Maurizio De Angelis,['vintage italian soundtrack'],442,26
83,67ft7iwkuCMXnfU57hUNwv,James Seymour Brett,[],209,5
84,6N0EyzkEpHHJQUppp6dxov,Michael Lloyd,[],302,5
85,6C5wL1A0YdxXEfqcLkLEcs,Angus Young and Malcolm Young,[],66,10
86,7dXBi98p0mN5JCpBnU0XEm,Gato Barbieri,"['jazz saxophone', 'latin soundtrack']",40769,36
87,43B662mnCJQuYtIRACBHKD,Bobby Scott,[],443,7
88,01C9OoXDvCKkGcf735Tcfo,Serge Gainsbourg,"['chanson', 'french rock']",544874,53
89,0Av9Hln262ro0Z8yhEg4HY,David Reyes,['latin worship'],5752,40
90,2fJb06JRcuBWypwj46TQZj,Armand Amar,['french soundtrack'],70724,46
91,7D7p7y50hsYN4k6g3Jw1RI,Nerida Tyson-Chew,['oceania soundtrack'],280,7
